GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021300086,1610612753,ORL,Orlando,202699,Tobias Harris,Tobias,,NWT - Sprained Left Ankle,,,,,,,,,,,,,,,,,,,,
0021300086,1610612753,ORL,Orlando,200780,Solomon Jones,Solomon,,DND - Torn Left Lateral Meniscus,,,,,,,,,,,,,,,,,,,,
0021300086,1610612753,ORL,Orlando,203117,Doron Lamb,Doron,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0021300086,1610612737,ATL,Atlanta,201960,DeMarre Carroll,DeMarre,F,,31:49,5.0,5.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,5.0,1.0,12.0,12.0
0021300086,1610612737,ATL,Atlanta,200794,Paul Millsap,Paul,F,,34:04,8.0,16.0,0.5,0.0,1.0,0.0,2.0,4.0,0.5,2.0,9.0,11.0,4.0,4.0,2.0,0.0,2.0,18.0,23.0
0021300086,1610612737,ATL,Atlanta,201143,Al Horford,Al,C,,29:45,7.0,14.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,6.0,7.0,7.0,1.0,4.0,0.0,3.0,15.0,11.0
0021300086,1610612737,ATL,Atlanta,2594,Kyle Korver,Kyle,G,,39:36,6.0,10.0,0.6,2.0,5.0,0.4,0.0,0.0,0.0,2.0,6.0,8.0,5.0,1.0,0.0,2.0,2.0,14.0,16.0
0021300086,1610612737,ATL,Atlanta,201952,Jeff Teague,Jeff,G,,40:16,6.0,15.0,0.4,1.0,2.0,0.5,6.0,6.0,1.0,1.0,0.0,1.0,13.0,1.0,0.0,2.0,1.0,19.0,17.0
0021300086,1610612737,ATL,Atlanta,203544,Pero Antic,Pero,,,18:15,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,-1.0
0021300086,1610612737,ATL,Atlanta,201858,Cartier Martin,Cartier,,,21:57,3.0,7.0,0.429,0.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,-12.0
0021300086,1610612737,ATL,Atlanta,203118,Mike Scott,Mike,,,13:57,7.0,11.0,0.636,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,17.0,-13.0
0021300086,1610612737,ATL,Atlanta,203471,Dennis Schroder,Dennis,,,9:58,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-5.0
0021300086,1610612737,ATL,Atlanta,202714,Shelvin Mack,Shelvin,,,0:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0021300086,1610612737,ATL,Atlanta,202970,Gustavo Ayon,Gustavo,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0021300086,1610612737,ATL,Atlanta,1882,Elton Brand,Elton,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0021300086,1610612737,ATL,Atlanta,203098,John Jenkins,John,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
